ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10266,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Closed,30,30,0
10066,AAS,2559,001,SEM,"3","Anne Rotich","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","New Course in African and African American Studies","African Languages and Literatures",Open,12,20,0
10282,AMST,2559,001,Lecture,"3","Elgin Cleckley, Kirt von Daacke","TBA","TBA","New Course in American Studies","The Good, the Bad, and the Ugly: Designing America",Open,26,35,0
10225,ANTH,2559,100,Lecture,"3","Erin Eaker, Rachel Most","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,293,350,0
10226,ANTH,2559,101,Discussion,"0","Andrew Ebrahem","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,1,30,0
10227,ANTH,2559,102,Discussion,"0","Byron Clanor","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,14,30,0
10228,ANTH,2559,103,Discussion,"0","Charles Oswald","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,16,30,0
10229,ANTH,2559,104,Discussion,"0","Erica Krause","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,17,30,0
10230,ANTH,2559,105,Discussion,"0","Jennie Askew","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,17,30,0
10231,ANTH,2559,106,Discussion,"0","Jesse McCain","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,14,30,0
10232,ANTH,2559,107,Discussion,"0","Lauren Van Nest","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,17,30,0
10347,ANTH,2559,108,Discussion,"0","Mary Wilks","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,10,30,0
10348,ANTH,2559,109,Discussion,"0","Melvin Bouboulis","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,25,30,0
10349,ANTH,2559,111,Discussion,"0","Mingyun Zhang","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,16,30,0
10350,ANTH,2559,112,Discussion,"0","Nathan Frank","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,29,30,0
10376,ANTH,2559,113,Discussion,"0","Roberto Rodriguez","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,27,30,0
10377,ANTH,2559,114,Discussion,"0","Sanaa Abrahams","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,26,30,0
10378,ANTH,2559,115,Discussion,"0","Stephen Marrone","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,19,30,0
10379,ANTH,2559,116,Discussion,"0","Thomas Storrs","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,20,30,0
10383,ANTH,2559,117,Discussion,"0","Uzma Zafar","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,21,30,0
10424,ANTH,2559,118,Discussion,"0","William Welchance","TBA","TBA","New Course in Anthropology","The Past, Present, and Future of Humankind",Open,4,30,0
10267,ANTH,2590,001,Lecture,"3","Saad Quasem","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Social and Cultural Anthropology","The Culture of Rivers",Open,19,20,0
10283,ARCH,2500,001,Lecture,"3","Elgin Cleckley, Kirt von Daacke","TBA","TBA","Special Topics in Architecture","The Good, the Bad, and the Ugly: Designing America",Open,12,20,0
10196,ARCH,3500,200,Lecture,"3","Barbara Wilson, Jeana Ripple","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Architecture","Climate Justice in Cities",Open,61,200,0
10197,ARCH,3500,201,Discussion,"0","Asriyanti Karma","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,17,30,0
10198,ARCH,3500,202,Discussion,"0","Elizabeth Chung","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,8,30,0
10199,ARCH,3500,203,Discussion,"0","Hayley Elszasz","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,5,30,0
10200,ARCH,3500,204,Discussion,"0","Jessica Smith","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,10,30,0
10201,ARCH,3500,205,Discussion,"0","Michael Salgueiro","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,9,30,0
10202,ARCH,3500,206,Discussion,"0","Lauren McQuistion","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,6,30,0
10203,ARCH,3500,207,Discussion,"0","Catherine Owsik","TBA","TBA","Special Topics in Architecture","Climate Justice in Cities",Open,6,20,0
10291,ARH,2500,001,Lecture,"3","Lisa Reilly","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Architectural History","Haj: 12th Century Mediterranean",Closed,21,20,0
10091,ARH,3500,001,Lecture,"3","Andrew Johnston","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Architectural History","Cultural Landscape of Virginia",Open,21,30,0
10340,ARH,5500,001,Lecture,"1 - 3","Andrew Johnston","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Selected Topics in Architectural History","Cultural Landscape of Virginia",Open,3,30,0
10067,ARTH,2470,001,SEM,"3","Christa Robbins","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Art Now","",Open,28,30,0
10447,ARTH,2559,001,Lecture,"3 - 4","Lisa Reilly","TBA","TBA","New Course in History of Art","Haj:12th Century Mediterranean",Open,3,5,0
10131,ARTS,1559,100,Lecture,"3","Lydia Moyer, Mona Kasra","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","New Course in Studio Art","The Art of Resistance",Open,123,180,0
10160,ARTS,1559,101,Discussion,"0","Ariana Arenius","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,18,30,0
10161,ARTS,1559,102,Discussion,"0","Heather Mease","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,24,30,0
10162,ARTS,1559,103,Discussion,"0","Madeline Smith","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,20,30,0
10163,ARTS,1559,104,Discussion,"0","Theodore Teichman","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,23,30,0
10164,ARTS,1559,105,Discussion,"0","Ya-Hsin Chiang","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,20,30,0
10165,ARTS,1559,106,Discussion,"0","Karl Sparrman","TBA","TBA","New Course in Studio Art","The Art of Resistance",Open,18,30,0
10068,ARTS,2000,001,STO,"3","Amy Chan","TBA","TBA","Introduction to Studio Art","",Closed,20,20,0
10335,ARTS,2000,002,STO,"3","Matthew Shelton","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Introduction to Studio Art","",Closed,20,20,0
10109,ARTS,2560,001,STO,"3","Akemi Ohira","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Printmaking","Works On Paper",Closed,30,30,0
10256,BIOL,4585,001,SEM,"2","Rachana Bhave","MoTuWeThFr 10:00am - 2:00pm","Web-Based Course","Selected Topics in Biology","The Evolution of Mating Systems",Open,12,20,0
10257,BIOL,4585,002,SEM,"2","Liza Mitchem","MoTuWeThFr 10:00am - 2:00pm","Web-Based Course","Selected Topics in Biology","Evolution in the Media",Open,17,20,0
10069,BME,6550,001,Lecture,"1","Jonathan Rosen","TBA","TBA","Special Topics in Biomedical Engineering","Biomedical Data Systems",Open,13,15,0
10123,CE,4500,001,Lecture,"3","Bethany Gordon, Sadegh Eghdami","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Civil Engineering","Engineering Social Justice",Open,9,15,0
10442,CE,4500,002,Lecture,"3","Robert Riggs","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Civil Engineering","Introduction to Lean Enterprise and Six Sigma",Open,4,10,0
10444,CHEM,3951,001,IND,"1 - 3","Laura Serbulea","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Undergraduate Research I","",Open,0,15,0
10041,COMM,3845,001,Lecture,"3","William Wilkerson","MoTuWeThFrSa 10:00am - 4:15pm","Web-Based Course","Foundations of International Business","",Open,16,20,0
10127,COMM,4559,001,Lecture,"3","Stefano Grazioli","MoTuWeThFr 9:00am - 3:00pm","Web-Based Course","New Course in Commerce","Digital Innovation - Special Topics",Open,23,30,0
10150,DS,4002,001,Lecture,"3","Brian Wright","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Data Science Project Course","",Closed,19,19,0
10149,EDHS,3210,001,Lecture,"3","Paul Harris","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","The Black Student Athlete: Readiness vs Eligibility","",Open,39,45,0
10065,EDIS,2920,001,Lecture,"3","Jennifer Maeng","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Debunking Classroom Myths","",Closed,20,20,0
10110,ELA,1559,001,Lecture,"3","Everette Fortner","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","New Course in Engaging the Liberal Arts","Designing Your Life After COVID-19",Open,148,200,0
10433,ELA,2910,002,SEM,"3","Karlin Luedtke","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Academic Adulting: Metacognitive Learning Strategies and Critical Thinking","",Open,17,25,0
10112,ENCW,4830,001,WKS,"3","Lisa Russ Spaar","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Advanced Poetry Writing I","",Open,13,15,0
10113,ENGL,1910,001,Lecture,"3","Margaret Gardiner","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Public Speaking","",Open,16,18,0
10135,ENGR,2595,100,Lecture,"3","David Leblang, Roseanne Ford","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,60,100,0
10259,ENGR,2595,101,Discussion,"0","Akhil Sai Peddireddy","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,6,30,0
10260,ENGR,2595,102,Discussion,"0","Alexis Jihye Yang","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,4,30,0
10261,ENGR,2595,103,Discussion,"0","Amanda Rosensky","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,0,30,0
10262,ENGR,2595,104,Discussion,"0","Amelia Kirby","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,1,30,0
10263,ENGR,2595,105,Discussion,"0","Ashley Scurlock","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,3,30,0
10264,ENGR,2595,106,Discussion,"0","Buckley Dowdle","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,8,30,0
10265,ENGR,2595,107,Discussion,"0","Caroline Schweitzer","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Closed,6,20,0
10336,ENGR,2595,108,Discussion,"0","Catherine Elmore","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,12,30,0
10337,ENGR,2595,109,Discussion,"0","Clair McLafferty","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,9,30,0
10338,ENGR,2595,110,Discussion,"0","Donnelly Phillips","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,5,30,0
10339,ENGR,2595,111,Discussion,"0","Helen Sporkin","TBA","TBA","Special Topics in Engineering","Pandemics Beyond The Headlines: COVID-19",Open,6,30,0
10137,ENWR,2520,100,Lecture,"3","Stephen Parks","MoTuWeThFr 10:00am - 3:00pm","Web-Based Course","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,387,480,0
10240,ENWR,2520,101,Discussion,"0","Catherine Blume","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,27,30,0
10241,ENWR,2520,102,Discussion,"0","Hannah Loeb","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,24,30,0
10242,ENWR,2520,103,Discussion,"0","James Davis","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,21,30,0
10243,ENWR,2520,104,Discussion,"0","John Modica","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,28,30,0
10244,ENWR,2520,105,Discussion,"0","Katie Campbell","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,26,30,0
10245,ENWR,2520,106,Discussion,"0","Lloyd Sy","TBA","TBA","Special Topics in Writing","Global Advocacy, Democracy, and Public Narrative",Open,28,30,0
